method,framework,model,run_id,n,sanity,run_ok,l1_feas,l1_hard_pres,l1_soft_pres,l1_overall,l2_logical,l2_logical_n,l2_pref,l2_pref_n,l2_combined,l2_combined_n,l3_eligible,l3_n,l3_scope,l3_param,l3_struct,l3_comp,l3_retention,l3_seqdist,l3_change_ratio,notes
ReAct,react,gemini_3_1_pro,20260519_141752_gemini_3_1_pro_react_typed_current,196,review,0.9897959183673469,0.5102040816326531,0.46938775510204084,0.1326530612244898,0.07142857142857142,0.5510204081632653,121,0.10714285714285714,22,0.5459183673469388,121,0.05612244897959184,11,parameter:2 (18.2%); structural:9 (81.8%),0.9090909090909091,1.0,0.0,0.8528138528138528,1.0,0.3192640692640693,Gemini 3.1 Pro current merged result; ReAct typed db_read_typed.
Reflect / Reflexion,reflexion,gemini_3_1_pro,20260519_154428_gemini_3_1_pro_reflexion_typed_current,196,review,0.9183673469387755,0.5714285714285714,0.5306122448979592,0.1377551020408163,0.07653061224489796,0.6122448979591837,139,0.12244897959183673,27,0.5969387755102041,139,0.0663265306122449,13,parameter:2 (15.4%); structural:11 (84.6%),1.0769230769230769,1.1538461538461537,0.0,0.8218864468864469,1.1538461538461537,0.35531135531135527,"Gemini 3.1 Pro current merged result; original run plus quota/interruption reruns, latest per category/sample."
PTE-R,pter,gemini_3_1_pro,20260519_164535_gemini_3_1_pro_pter_typed_current,196,review,0.9846938775510204,0.5612244897959183,0.39285714285714285,0.11224489795918367,0.0663265306122449,0.4642857142857143,101,0.10204081632653061,22,0.45408163265306123,101,0.05612244897959184,11,parameter:2 (18.2%); structural:8 (72.7%); compositional:1 (9.1%),1.0,1.3636363636363635,0.45454545454545453,0.8154761904761905,1.2727272727272727,0.5156926406926406,"Gemini 3.1 Pro current merged result; original run plus quota/interruption reruns, latest per category/sample."
ReAct,react,gpt-4o-mini,20260514_220241_gpt_4o_mini_react_typed,196,review,0.9897959183673469,0.3112244897959184,0.41836734693877553,0.12755102040816327,0.04081632653061224,0.5051020408163265,152,0.14285714285714285,31,0.49489795918367346,152,0.02040816326530612,4,parameter:2 (50.0%); structural:2 (50.0%),0.5,0.75,0.0,0.8973214285714286,0.75,0.16517857142857142,"20260514 typed run; ReAct, gpt-4o-mini."
Reflect / Reflexion,reflexion,gpt-4o-mini,20260514_220333_gpt_4o_mini_reflexion_typed,196,review,0.9948979591836735,0.3163265306122449,0.4387755102040816,0.15816326530612246,0.025510204081632654,0.46938775510204084,166,0.14285714285714285,32,0.46938775510204084,166,0.01020408163265306,2,parameter:1 (50.0%); structural:1 (50.0%),1.5,1.0,0.0,0.875,1.0,0.3125,"20260514 typed run; Reflexion, gpt-4o-mini."
ReAct,react,qwen3_vl_8b_instruct,20260514_215220_qwen3_vl_8b_instruct_react_typed,196,review,0.9744897959183674,0.30612244897959184,0.3979591836734694,0.10204081632653061,0.05102040816326531,0.32142857142857145,103,0.08673469387755102,20,0.3163265306122449,103,0.015306122448979591,3,parameter:1 (33.3%); structural:2 (66.7%),0.0,0.6666666666666666,0.0,0.9047619047619048,0.6666666666666666,0.09523809523809523,"20260514 typed run; ReAct, qwen3_vl_8b_instruct."
Reflect / Reflexion,reflexion,qwen3_vl_8b_instruct,20260514_215842_qwen3_vl_8b_instruct_reflexion_typed,196,review,0.9591836734693877,0.5255102040816326,0.6071428571428571,0.14795918367346939,0.07653061224489796,0.46938775510204084,160,0.11734693877551021,30,0.45408163265306123,160,0.025510204081632654,5,parameter:2 (40.0%); structural:3 (60.0%),0.2,1.6,0.0,0.7928571428571429,1.6,0.23214285714285712,"20260514 typed run; Reflexion, qwen3_vl_8b_instruct."
ReAct,react,deepseek_v4_pro_guan,20260514_235921_deepseek_v4_pro_guan_react_typed,196,review,0.9693877551020408,0.5663265306122449,0.5459183673469388,0.1326530612244898,0.0663265306122449,0.6224489795918368,150,0.14795918367346939,30,0.6224489795918368,150,0.05102040816326531,10,parameter:2 (20.0%); structural:8 (80.0%),0.7,1.0,0.0,0.8488095238095237,1.0,0.2922619047619048,"20260514 typed run; ReAct, deepseek_v4_pro_guan."
Reflect / Reflexion,reflexion,deepseek_v4_pro_guan,20260515_000037_deepseek_v4_pro_guan_reflexion_typed,196,review,0.9132653061224489,0.5153061224489796,0.5102040816326531,0.1377551020408163,0.0663265306122449,0.6326530612244898,151,0.14795918367346939,31,0.6326530612244898,151,0.05102040816326531,10,parameter:2 (20.0%); structural:7 (70.0%); compositional:1 (10.0%),0.8,1.6,0.1,0.7839285714285714,1.6,0.4154761904761905,"20260515 typed run; Reflexion, deepseek_v4_pro_guan."
PTE-R,pter,gpt-4o-mini,20260517_140724_gpt_4o_mini_pter_typed,196,review,0.9132653061224489,0.10714285714285714,0.2193877551020408,0.07653061224489796,0.00510204081632653,0.27040816326530615,78,0.061224489795918366,14,0.27040816326530615,78,0.00510204081632653,1,parameter:1 (100.0%),1.0,0.0,0.0,1.0,0.0,0.125,"20260517 typed rerun; PTE-R, gpt-4o-mini."
